location_type,state_code,state_name,website_state_id,year,travel_spending_source_value,travel_spending_denomination,travel_spending_usd,state_local_tax_receipts_source_value,state_local_tax_receipts_denomination,state_local_tax_receipts_usd,jobs_source_value,jobs_numeric,employment_ranking,,,,,,,,
state,IN,Indiana,15,2021,11.2,Billion,11200000000,776,Million,776000000,"87,800",87800,11,,,,,,,,
state,IN,Indiana,15,2020,9.3,Billion,9300000000,711,Million,711000000,"75,600",75600,12,,,,,,,,
state,IN,Indiana,15,2019,14.3,Billion,14300000000,985,Million,985000000,"109,000",109000,10,,,,,,,,
state,KS,Kansas,17,2024,9,Billion,9000000000,664,Million,664000000,"55,600",55600,11,,,,,,,,
state,KS,Kansas,17,2023,8.8,Billion,8800000000,648,Million,648000000,"55,200",55200,11,,,,,,,,
state,KS,Kansas,17,2022,8.4,Billion,8400000000,624,Million,624000000,"53,700",53700,11,,,,,,,,
state,KS,Kansas,17,2021,7.7,Billion,7700000000,564,Million,564000000,"50,500",50500,11,,,,,,,,
state,KS,Kansas,17,2020,6,Billion,6000000000,464,Million,464000000,"49,200",49200,11,,,,,,,,
state,KS,Kansas,17,2019,8.1,Billion,8100000000,524,Million,524000000,"61,400",61400,8,,,,,,,,
state,KY,Kentucky,18,2024,13.9,Billion,13900000000,897,Million,897000000,"105,000",105000,7,,,,,,,,
state,KY,Kentucky,18,2023,13.4,Billion,13400000000,865,Million,865000000,"102,500",102500,7,,,,,,,,
state,KY,Kentucky,18,2022,12.2,Billion,12200000000,801,Million,801000000,"98,000",98000,7,,,,,,,,
state,KY,Kentucky,18,2021,10.5,Billion,10500000000,688,Million,688000000,"88,000",88000,7,,,,,,,,
state,KY,Kentucky,18,2020,8.1,Billion,8100000000,529,Million,529000000,"79,600",79600,7,,,,,,,,
state,KY,Kentucky,18,2019,11,Billion,11000000000,709,Million,709000000,"101,600",101600,7,,,,,,,,
state,LA,Louisiana,19,2024,16.2,Billion,16200000000,990,Million,990000000,"107,700",107700,6,,,,,,,,
state,LA,Louisiana,19,2023,15.5,Billion,15500000000,946,Million,946000000,"107,600",107600,6,,,,,,,,
state,LA,Louisiana,19,2022,14.9,Billion,14900000000,910,Million,910000000,"104,800",104800,7,,,,,,,,
state,LA,Louisiana,19,2021,12.2,Billion,12200000000,807,Million,807000000,"97,900",97900,7,,,,,,,,
state,LA,Louisiana,19,2020,9.5,Billion,9500000000,638,Million,638000000,"91,100",91100,7,,,,,,,,
state,LA,Louisiana,19,2019,14.6,Billion,14600000000,1,Billion,1000000000,"122,800",122800,6,,,,,,,,
state,MA,Massachusetts,22,2024,28.9,Billion,28900000000,1.4,Billion,1400000000,"116,800",116800,12,,,,,,,,
state,MA,Massachusetts,22,2023,28.3,Billion,28300000000,1.4,Billion,1400000000,"116,000",116000,11,,,,,,,,
state,MA,Massachusetts,22,2022,25.8,Billion,25800000000,1.3,Billion,1300000000,"111,100",111100,12,,,,,,,,
state,MA,Massachusetts,22,2021,15.5,Billion,15500000000,1.1,Billion,1100000000,"91,500",91500,13,,,,,,,,
state,MA,Massachusetts,22,2020,12.5,Billion,12500000000,1,Billion,1000000000,"80,700",80700,13,,,,,,,,
state,MA,Massachusetts,22,2019,26.8,Billion,26800000000,1.7,Billion,1700000000,"163,500",163500,8,,,,,,,,
state,MD,Maryland,21,2024,22.2,Billion,22200000000,1.7,Billion,1700000000,"117,000",117000,7,,,,,,,,
state,MD,Maryland,21,2023,21.5,Billion,21500000000,1.6,Billion,1600000000,"114,000",114000,7,,,,,,,,
state,MD,Maryland,21,2022,20.4,Billion,20400000000,1.5,Billion,1500000000,"111,000",111000,8,,,,,,,,
state,MD,Maryland,21,2021,17.2,Billion,17200000000,1.4,Billion,1400000000,"100,400",100400,9,,,,,,,,
state,MD,Maryland,21,2020,12.2,Billion,12200000000,1.2,Billion,1200000000,"92,900",92900,9,,,,,,,,
state,MD,Maryland,21,2019,19.5,Billion,19500000000,1.7,Billion,1700000000,"133,300",133300,7,,,,,,,,
state,ME,Maine,20,2024,6.2,Billion,6200000000,340,Million,340000000,"31,800",31800,7,,,,,,,,
state,ME,Maine,20,2023,6.1,Billion,6100000000,337,Million,337000000,"31,600",31600,7,,,,,,,,
state,ME,Maine,20,2022,5.8,Billion,5800000000,323,Million,323000000,"30,300",30300,7,,,,,,,,
state,ME,Maine,20,2021,4.9,Billion,4900000000,275,Million,275000000,"28,000",28000,8,,,,,,,,
state,ME,Maine,20,2020,3.1,Billion,3100000000,223,Million,223000000,"21,700",21700,9,,,,,,,,
state,ME,Maine,20,2019,5.2,Billion,5200000000,341,Million,341000000,"37,300",37300,5,,,,,,,,
state,MI,Michigan,23,2024,28.4,Billion,28400000000,2.2,Billion,2200000000,"193,800",193800,8,,,,,,,,
state,MI,Michigan,23,2023,27.1,Billion,27100000000,2.1,Billion,2100000000,"189,700",189700,7,,,,,,,,
state,MI,Michigan,23,2022,25.3,Billion,25300000000,2,Billion,2000000000,"181,300",181300,8,,,,,,,,
state,MI,Michigan,23,2021,22.2,Billion,22200000000,1.8,Billion,1800000000,"165,100",165100,8,,,,,,,,
state,MI,Michigan,23,2020,17.4,Billion,17400000000,1.6,Billion,1600000000,"149,300",149300,10,,,,,,,,
